Labelled Tweet,,,,,,,,
,,,,,,,,
ID,Timestamp,Tweet,Keluhan,Bukan Keluhan/Respon,Topik Umum,Topik Spesifik,Lokasi,Waktu 
6.91E+17,"23 Jan 2016, 03:50:09 AM",RT @Satpolppbdg: Pengemis pura2 buntung ditertibkan mlm ini 21/1/16. Masih mau ngasih? cc @ridwankamil @DiskominfoBdg @PemkotBandung https:É,,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 05:49:22 AM","RT @ridwankamil: Barudak bandung nu sok mabal sakola, siap2 ditewak @Satpolppbdg . Omat! https://t.co/SnQoSK9sMQ",,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 06:21:40 AM",@ridwankamil @Satpolppbdg d tangga msuk PasbarBdg ada pngamen yg minta2 kpd pngunjung dgn memaksa pdhal sdh d beri @PintarPolitik,Ya,,k3 (ketertiban; kebersihan; keindahan),pengamen,-,-
6.91E+17,"23 Jan 2016, 06:37:15 AM","RT @ridwankamil: Barudak bandung nu sok mabal sakola, siap2 ditewak @Satpolppbdg . Omat! https://t.co/SnQoSK9sMQ",,Ya,bukan keluhan,bukan keluhan,"Otista, Kopo dan Caringin ",-
6.91E+17,"23 Jan 2016, 06:54:37 AM","RT @ad_hilma: @ridwankamil pak, abdi hawatos perkawis sinetron anak jalanan, bilih di bandung aya geng motor deui",,Ya,bukan keluhan,bukan keluhan,Jalan Sudirman ,-
6.91E+17,"23 Jan 2016, 06:57:30 AM","RT @ridwankamil: Barudak bandung nu sok mabal sakola, siap2 ditewak @Satpolppbdg . Omat! https://t.co/SnQoSK9sMQ",,Ya,bukan keluhan,bukan keluhan,Mengger girang,dari awal tahun baru 
6.91E+17,"23 Jan 2016, 07:05:04 AM",@rolandoiBoss @ridwankamil @sudjiwotedjo Gazebo yang di gadang Gubernur aja berantakkan bagaimana mau menata DKI Jaya jalan macet masih,Ya,,bidang lainnya,bidang lainnya,-,21-1-2016
6.91E+17,"23 Jan 2016, 07:22:15 AM",@ridwankamil Pak Walikota Di bandung banyak bangat anak jalanan pengamen terus angkot suka ugal2an terutama angkot margahayu,Ya,,"k3 (ketertiban; kebersihan; keindahan), k3 (ketertiban; kebersihan; keindahan), perhubungan","anak jalanan dan gelandangan pengemis, pengamen, angkutan umum ugal - ugalan / ngetem",-,-
6.91E+17,"23 Jan 2016, 07:33:28 AM","PKL tidak berjualan sabtu, minggu di jl sukajadi @ridwankamil @OdedMD @yossiirianto  @bplh_kotabdg @Satpolppbdg https://t.co/t1458aEY4V",,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 07:43:07 AM","RT @Kec_Sukajadi: PKL tidak berjualan sabtu, minggu di jl sukajadi @ridwankamil @OdedMD @yossiirianto  @bplh_kotabdg @Satpolppbdg https://tÉ",,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 07:55:00 AM","@Satpolppbdg @ridwankamil @PemkotBandung Di perempatan cadas-supratman ada anak nyanyi2 kereta malam smbl joged2, kasian mohon di tertibkan",Ya,,k3 (ketertiban; kebersihan; keindahan),anak jalanan dan gelandangan pengemis,Jalan Soekarno Hatta,-
6.91E+17,"23 Jan 2016, 08:01:30 AM",RT @sekonugroho: Kang @ridwankamil sy prihatin pagi ini Jl.Ganesha bnyk tempelan paku di pohon jelang @Kongres9IAITB  #SaveTheTrees https:/É,Ya,,lingkungan hidup,pohon dipaku,"Dayangsumbi, Tamansari, badan Jalan Cicadas",25-1-2016
