Labelled Tweet,,,,,
,,,,,
ID,Timestamp,Tweet,Keluhan,Bukan Keluhan/Respon,Dinas
6.79E+17,"21 Des 2015, 02:50:25 PM","@EL_Atheos @ridwankamil ya mungkin karena perempuan bj merah yg paling kelihatan karena berada di depan, laki2 jg sering jadi bahan joke RK",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 02:53:02 PM",@ridwankamil @dbmpkotabdg kang teman saya tertimpa pohn dijln sangkuriang dpn polsek coblong tlg ditertibkan phn yg sdh lapuknuhun,Ya,,Dinas Pemakaman dan Pertamanan
6.79E+17,"21 Des 2015, 02:57:55 PM",Di tribun jabar biasanya suka di post agenda kang emil. Tapi gak setiap hari sih. RT @Ry_ory: Klo saya k Bdg bs ketemu Kang @ridwankamil dmn,,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 02:58:54 PM",@dbmpkotabdg RT @fajriattack: Lapor pak @ridwankamil lampu penerangan jalan depan kampus lpkia ngaplek :(:(:( https://t.co/RNsU5cQHuq,Ya,,Dinas Tata Ruang dan Ciptakarya
6.79E+17,"21 Des 2015, 03:06:49 PM","@diskamtam bapak/ibu mau tanya, kalo pemeliharaan taman2 yg banyak dibagun skr gimana nantinya?",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 03:13:53 PM",Pa @ridwankamil tempat kerja saya tgl 25 tetep masuk. gimana itu aturannya pa? kalo misalnya ga masuk dipotong gaji https://t.co/u3L7XtJFgE,Ya,,Lain-Lain
6.79E+17,"21 Des 2015, 03:13:58 PM","@pdamtirtawening@ridwankamil  00106700466, punten sudah seminggu air PDAM tidak mengalir. Mohon bantuannya segera...",Ya,,Dinas Bina Marga dan Pengairan
6.79E+17,"21 Des 2015, 03:23:12 PM","RT @KendiAdiputra: Anak SMA yang ketahuan mencuri helem di bip, hari ini pak @ridwankamil https://t.co/Zyz2bo4Ipk",Ya,,Dinas Sosial
6.79E+17,"21 Des 2015, 03:37:41 PM","@pdamtirtawening ternyata sudah ada warga yg konfirm ke pdam,katanya: air tidak akan mengalir selama 1 bulan krn ada perbaikan @ridwankamil",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 04:03:26 PM","Kang @ridwankamil, jalan di Muararajeun Baru, baru sebulanan dibenerin,udah rusak lagi. Yang ngerjain kaya ga serius https://t.co/yULuN5GC7n",Ya,,Dinas Tata Ruang dan Ciptakarya
6.79E+17,"21 Des 2015, 04:11:37 PM",RT @AdamMaulud: Didinyamah kieu ?? bosss! Kumaha pak? @ridwankamil daerah sapharuhai yeuh kang parkir liar seeur pisan atuhda-.- https://t.c…,Ya,,Dinas Perhubungan
6.79E+17,"21 Des 2015, 04:12:01 PM","Pak @ridwankamil punten tolong marahin motor yg ga pake spakbor belakang. Udah mah td kehujanan, wajah rupawan sy kacepretan :((",Ya,,Dinas Perhubungan
6.79E+17,"21 Des 2015, 04:13:05 PM",@dbmpkotabdg @ridwankamil hatur nuhun dbmp lampu jl.merdeka atos sae,,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 04:19:28 PM","Kalo @PemkotBandung @ridwankamil mau batasi kendaraan, yg feasible dan bisa dilakukan segera dlm wewenang mrk: berantas parkir badan jalan.",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 04:29:08 PM","RT @iqbalfg: Pak @ridwankamil punten tolong marahin motor yg ga pake spakbor belakang. Udah mah td kehujanan, wajah rupawan sy kacepretan :…",Ya,,Dinas Perhubungan
6.79E+17,"21 Des 2015, 04:32:37 PM","Pak, tadi saya habis dari Kebun Binatang, itu kebersihannya masih kurang dan orangutannya juga jomblo pak, mohon solusi pak.. @ridwankamil",Ya,,Dinas Kebudayaan dan Pariwisata
6.79E+17,"21 Des 2015, 04:41:15 PM","RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX…",Ya,,Lain-Lain
6.79E+17,"21 Des 2015, 04:58:33 PM","Bonbin bandung agak kurang terawat, kasian sama hewan hewannya. Pak @ridwankamil coba bonbin bandung di bikin kayak singapore zoo",Ya,,Dinas Kebudayaan dan Pariwisata
6.79E+17,"21 Des 2015, 05:17:40 PM","Pak @ridwankamil,sy pnya saran angkot 08 dan Antapani yg Coklat dilebur sj. tp arah trayeknya dibagi 2 kyk Cimbeuleuit dl.",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 05:24:27 PM","RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX…",Ya,,Lain-Lain
6.79E+17,"21 Des 2015, 05:24:39 PM","@ridwankamil pak sya lg mau pulang naek diangkot cheum- ledeng, ad ibu2 sma bpak2 ngmongin bpak tp tenang koq pak ngmongin nya yg baik2^^",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 05:39:03 PM",@dishub_kotabdg sepertinya yang membuat jlnan macet adlah prmptan. Hrsnya ada jambtn lyang ditiap perempatan. @ridwankamil,Ya,,Dinas Perhubungan
6.79E+17,"21 Des 2015, 05:40:16 PM","@infobdg kalau macet begini, di lihat di depannya, karena apa macetnya? angkot/bus ngetem? pasti ada sumber titik macetnya @ridwankamil",Ya,,Dinas Perhubungan
6.79E+17,"21 Des 2015, 05:46:50 PM",#SaurWargi @reckythea: tolg ad seorang wanita d jl eikman tiap pg jam 9 suka loncat k tngh jln ambil kunci mtr dgn tebusan 10rb @Satpolppbdg,Ya,,Lain-Lain
6.79E+17,"21 Des 2015, 05:52:29 PM",@BimaAryaS @DiskominfoBdg @dishub_jabar @dishub_kotabdg mendukung rencana badan hukum angkot. jgn sampai kasus metromini tjd nanti di bgr,,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 05:57:21 PM",RT @se_bdg: #SaurWargi @reckythea: tolg ad seorang wanita d jl eikman tiap pg jam 9 suka loncat k tngh jln ambil kunci mtr dgn tebusan 10rb…,Ya,,Lain-Lain
6.79E+17,"21 Des 2015, 06:01:39 PM","@EL_Atheos @hendronurkholis @ridwankamil he he, perempuan itu sebelumnya dh ditanya sama rk, dah nikah pa masih single",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 06:07:29 PM","Punten, saya baru denger beritanya .. apa sudah ditertibkan modus mengambil kunci motor ? @Satpolppbdg @PRFMnews https://t.co/S1d5jf1LaO",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 06:08:03 PM",Min @dbmpkotabdg kalau dilihat dari foto di bawah ini sebenarnya Jl Cemara memiliki trotoar ga ya? Tx. https://t.co/5uOaccX6SH,,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 06:10:02 PM",RT @soowooBDG: Min @dbmpkotabdg kalau dilihat dari foto di bawah ini sebenarnya Jl Cemara memiliki trotoar ga ya? Tx. https://t.co/5uOaccX6…,,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 06:23:11 PM","@ridwankamil @Satpolppbdg Mohon diamankan Pa Ogah per4an Pasar Suci Cihaurgeulis,  membuat jalan Suci macet total &amp; kacau.  Nuhun PERHATIANA",Ya,,Dinas Perhubungan
6.79E+17,"21 Des 2015, 06:24:46 PM","@ridwankamil @dbmpkotabdg Mohon dipasang tiang utk LAMPU MERAH DI PER4AN PASAR SUCI,  CIHAURGEULIS.  SERING TERJADI MACET TOTAL @IWGinting",Ya,,Dinas Perhubungan
